start_time,end_time,duration
"12月 17, 2022 22:12","12月 18, 2022 11:20",13h 7m 24s
"12月 19, 2022 00:01","12月 19, 2022 07:59",7h 58m 1s
"12月 19, 2022 23:23","12月 20, 2022 08:09",8h 45m 25s
"12月 20, 2022 21:59","12月 21, 2022 07:47",9h 47m 45s
"12月 21, 2022 21:40","12月 22, 2022 07:24",9h 43m 57s
"12月 22, 2022 07:50","12月 22, 2022 08:15",25m 2s
"12月 23, 2022 00:33","12月 23, 2022 08:15",7h 41m 23s
"12月 24, 2022 02:52","12月 24, 2022 12:00",9h 7m 50s
"12月 25, 2022 01:51","12月 25, 2022 11:35",9h 43m 55s
"12月 25, 2022 22:36","12月 26, 2022 07:57",9h 20m 15s
"12月 27, 2022 00:19","12月 27, 2022 08:14",7h 55m 7s
"12月 28, 2022 00:01","12月 28, 2022 08:16",8h 14m 50s
"12月 29, 2022 00:21","12月 29, 2022 08:08",7h 46m 16s
"12月 30, 2022 00:50","12月 30, 2022 08:15",7h 24m 37s
"12月 31, 2022 01:38","12月 31, 2022 11:27",9h 49m 23s
"1月 01, 2023 02:13","1月 01, 2023 10:22",8h 9m 1s
"1月 02, 2023 03:29","1月 02, 2023 12:08",8h 39m 18s
"1月 03, 2023 00:13","1月 03, 2023 07:50",7h 37m 8s
"1月 03, 2023 21:22","1月 04, 2023 07:30",10h 8m 33s
"1月 04, 2023 07:38","1月 04, 2023 07:58",20m 0s
"1月 05, 2023 00:05","1月 05, 2023 08:00",7h 55m 0s
"1月 06, 2023 00:12","1月 06, 2023 08:20",8h 8m 3s
"1月 07, 2023 02:16","1月 07, 2023 11:09",8h 53m 5s
"1月 08, 2023 01:31","1月 08, 2023 10:50",9h 19m 9s
"1月 09, 2023 00:08","1月 09, 2023 07:40",7h 32m 30s
"1月 09, 2023 08:00","1月 09, 2023 08:20",20m 2s
"1月 10, 2023 00:45","1月 10, 2023 08:30",7h 45m 0s
"1月 11, 2023 00:46","1月 11, 2023 08:22",7h 36m 46s
"1月 12, 2023 00:26","1月 12, 2023 08:18",7h 52m 10s
"1月 13, 2023 00:30","1月 13, 2023 08:14",7h 44m 7s
"1月 14, 2023 01:12","1月 14, 2023 10:24",9h 12m 40s
"1月 15, 2023 00:33","1月 15, 2023 09:53",9h 19m 39s
"1月 15, 2023 23:36","1月 16, 2023 08:23",8h 47m 7s
"1月 16, 2023 23:45","1月 17, 2023 08:27",8h 42m 42s
"1月 18, 2023 00:43","1月 18, 2023 08:39",7h 55m 58s
"1月 19, 2023 00:10","1月 19, 2023 08:25",8h 15m 3s
"1月 20, 2023 00:15","1月 20, 2023 06:40",6h 25m 0s
"1月 20, 2023 21:50","1月 21, 2023 08:50",11h 0m 0s
"1月 22, 2023 01:44","1月 22, 2023 07:30",5h 45m 41s
"1月 22, 2023 08:15","1月 22, 2023 10:44",2h 28m 42s
"1月 22, 2023 21:54","1月 23, 2023 10:24",12h 29m 39s
"1月 24, 2023 01:18","1月 24, 2023 10:08",8h 50m 2s
"1月 24, 2023 22:56","1月 25, 2023 10:09",11h 13m 22s
"1月 26, 2023 01:50","1月 26, 2023 11:40",9h 50m 0s
"1月 27, 2023 02:19","1月 27, 2023 11:20",9h 0m 55s
"1月 27, 2023 23:03","1月 28, 2023 08:14",9h 10m 45s
"1月 29, 2023 00:07","1月 29, 2023 08:46",8h 38m 46s
"1月 30, 2023 00:25","1月 30, 2023 08:35",8h 9m 29s
"1月 31, 2023 00:30","1月 31, 2023 08:25",7h 55m 14s
"2月 01, 2023 01:00","2月 01, 2023 08:23",7h 23m 23s
"2月 02, 2023 00:05","2月 02, 2023 07:40",7h 35m 8s
"2月 02, 2023 23:20","2月 03, 2023 08:00",8h 40m 0s
"2月 03, 2023 22:59","2月 04, 2023 08:08",9h 9m 34s
"2月 05, 2023 00:41","2月 05, 2023 10:14",9h 33m 11s
"2月 06, 2023 00:45","2月 06, 2023 08:07",7h 22m 7s
